AA	U-BatCoV1
AB	U-BatCoV2
AC	U-RodentCoV
AD	A-BatCoV3
AE	B-BatCoV4
AF	A-BatCoV5
AG	B-BatCoV6
AH	A-BatCoV7
AI	G-BelugaCoV
AJ	B-EnCoV1
AK	B-MERSCoV
AL	B-ErinaceusCoV
AM	B-HKU24
AN	B-BovineCoV
AO	B-OC43
AP	A-BtMrCoV
AQ	A-BtNvCoV
AR	A-BtRfCoV1
AS	A-BtRfCoV2
AT	D-HKU11-934
AU	A-CamelCoV
AV	A-HumanCoV-229E
AW	G-GooseCoV
AX	D-HKU21
AY	A-AcCoV-JC34
AZ	G-DuckCoV
BA	G-IBV1
BB	G-IBV2
BC	G-TurkeyCoV
BD	A-FIPV
BE	A-SwineCoV
BF	A-TGEV
BG	A-FerretCoV
BH	B-HKU1
BI	A-NL63
BJ	A-RatCoV1
BK	D-HKU18
BL	A-HKU8
BM	A-MinkCoV
BN	D-HKU13-3514
BO	B-MHV1
BP	B-MHV2
BQ	B-RatCoV2
BR	A-BatCoV8
BS	A-BatCoV9
BT	D-HKU19
BU	B-HKU5
BV	D-HKU15
BW	A-PEDV
BX	B-HKU14
BY	A-HKU2
BZ	B-BatCoV10
CA	A-HKU10
CB	B-HKU9
CD	B-SARS-CoV-Tor2
CE	B-SARS-CoV-2
CF	A-BatCoV11
CG	U-ShrewCoV1
CH	D-HKU17
CI	D-HKU12-600
CJ	B-HKU4
CK	A-ShrewCoV2
CL	A-ShrewCoV3
CM	D-HKU16
CN	D-HKU20
