Loci	Mean_rho	Median	L95	U95
1	0	0	0	0
2	0.18407	0.03608	0.00139	1.32965
3	0.18426	0.03608	0.00183	1.32965
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	0	0	0	0
31	0	0	0	0
32	0	0	0	0
33	0	0	0	0
34	0	0	0	0
35	0	0	0	0
36	0	0	0	0
37	0	0	0	0
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	0	0	0
70	0	0	0	0
71	0	0	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	0	0	0
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	0
85	0	0	0	0
86	0	0	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	0	0	0
93	0	0	0	0
94	0	0	0	0
95	0	0	0	0
96	0	0	0	0
97	0	0	0	0
98	0	0	0	0
99	0	0	0	0
100	0	0	0	0
101	0	0	0	0
102	0.18421	0.03608	0.00139	1.32965
103	0	0	0	0
104	0.18416	0.03608	0.00113	1.32965
105	0.18507	0.03608	0.00166	1.32965
106	0.18525	0.03608	0.00183	1.32965
107	0.18412	0.03608	0.00117	1.31397
108	0.1842	0.03608	0.00045	1.31397
109	0.1844	0.03608	0.00183	1.31397
110	0.18379	0.03645	0.00139	1.31397
111	0.18435	0.03645	0.00161	1.31397
112	0.18474	0.03645	0.00183	1.31397
113	0.18225	0.03645	0.00139	1.31397
114	0.18116	0.03608	0.00098	1.31397
115	0.18064	0.03493	0.00171	1.31397
116	0.18064	0.03493	0.00171	1.31397
117	0.17926	0.03493	0.00152	1.31397
118	0.17892	0.03493	0.00152	1.31397
119	0.17895	0.03493	0.00171	1.31397
120	0.17897	0.03581	0.00139	1.31397
121	0.17909	0.03581	0.00171	1.31397
122	0.17769	0.03581	0.00115	1.31397
123	0.17487	0.03581	0.00131	1.26656
124	0.17468	0.03581	0.00105	1.26656
125	0.17505	0.03608	0.00171	1.26656
126	0.17918	0.03608	0.00087	1.26656
127	0.17911	0.03608	0.00065	1.26656
128	0.17645	0.03608	0.00065	1.25599
129	0.17645	0.03608	0.00065	1.25599
130	0.17674	0.03608	0.00119	1.25599
131	0	0	0	0
132	0.176	0.03608	0.00102	1.25599
133	0.18826	0.03608	0.00102	1.31397
134	0.19167	0.03608	0.00138	1.32965
135	0.19416	0.03645	0.00138	1.32965
136	0	0	0	0
137	0	0	0	0
138	0	0	0	0
139	0	0	0	0
140	0	0	0	0
141	0.20824	0.03645	0.00138	1.39009
142	0.27034	0.05284	0.00183	1.67995
143	0.37214	0.06545	0.00231	1.99771
144	0.5671	0.11478	0.00317	3.40309
145	0.62	0.172	0.00317	3.50434
146	0.65147	0.21371	0.00252	3.50434
147	0.67155	0.24522	0.00139	3.50434
148	0.68662	0.28182	0.00392	3.50434
149	0.70555	0.31135	0.00349	3.50434
150	0.71664	0.35802	0.00391	3.50434
151	0.73662	0.43461	0.00199	3.50434
152	0.74557	0.44449	0.00247	3.50434
153	0.74733	0.46122	0.00128	3.50434
154	0.75395	0.46721	0.00291	3.50434
155	0.7629	0.48842	0.00291	3.50434
156	0.76595	0.50155	0.00271	3.50434
157	0.77027	0.52724	0.00271	3.50434
158	0.78096	0.53148	0.00271	3.50434
159	0.78405	0.54293	0.00126	3.50434
160	0.78766	0.55536	0.00073	3.50434
161	0.79768	0.55906	0.00031	3.50434
162	0.7977	0.55906	0.00031	3.50434
163	0.81151	0.58385	0.00179	3.92761
164	0.82084	0.59113	0.00032	3.92761
165	0.84367	0.59174	0.00125	3.92761
166	0.84741	0.595	0.00529	3.92761
167	0.86254	0.60351	0.00064	3.92761
168	0.86257	0.60351	0.00087	3.92761
169	0.86142	0.60351	0.00202	3.92761
170	0.86194	0.60351	0.00202	3.92761
171	0.87052	0.62374	0.00202	3.92761
172	0.87706	0.63619	0.00122	3.92761
173	0.87883	0.64805	0.00202	3.92761
174	0.8818	0.65716	0.00202	3.92761
175	0.8819	0.65716	0.00202	3.92761
176	0.8819	0.65716	0.00202	3.92761
177	0	0	0	0
178	0	0	0	0
179	0.88223	0.65716	0.00202	3.92761
180	0.87809	0.65716	0.00245	3.92761
181	0.87664	0.65716	0.00245	3.92761
182	0.8746	0.65716	0.00116	3.92761
183	0.8746	0.65716	0.00116	3.92761
184	0.88774	0.65716	0.00116	3.92761
185	0.88774	0.65716	0.00116	3.92761
186	0.88774	0.65716	0.00116	3.92761
187	0.90097	0.66223	0.00115	3.92761
188	0.90105	0.66223	0.00116	3.92761
189	0.90104	0.66223	0.00116	3.92761
190	0.90101	0.66223	0.00116	3.92761
191	0.90101	0.66223	0.00116	3.92761
192	0.90104	0.66223	0.00123	3.92761
193	0.901	0.66223	0.00057	3.92761
194	0.90104	0.66223	0.00123	3.92761
195	0.90347	0.66537	0.00194	3.92761
196	0.90347	0.66537	0.00194	3.92761
197	0.90643	0.66537	0.00194	3.92761
198	0.91408	0.67433	0.00139	3.92761
199	0.90401	0.66537	0.00141	3.92761
200	0.89741	0.65716	0.00093	3.92761
201	0.88373	0.63458	0.00076	3.92761
202	0.88224	0.62894	0.00076	3.92761
203	0.88152	0.62374	0.00139	3.92761
204	0.89294	0.63619	0.00158	3.92761
205	0.89211	0.63619	0.00335	3.92761
206	0.90741	0.66223	0.00139	3.92761
207	0.89231	0.63619	0.00312	3.92761
208	0.86778	0.60776	0.00312	3.92761
209	0.84265	0.58065	0.00245	3.92761
210	0.81162	0.52695	0.00231	3.92761
211	0.79084	0.47781	0.00231	3.92761
212	0.6747	0.39683	0.00231	2.58388
213	0.52865	0.17921	0.00256	1.94946
214	0.49902	0.15816	0.00256	1.87146
215	0.5034	0.15816	0.00139	1.90501
216	0.49701	0.14625	0.00365	1.90501
217	0.49687	0.14625	0.00365	1.90501
218	0.60937	0.15247	0.00184	2.48711
219	0.60003	0.13841	0.00091	2.76681
220	0.51495	0.11617	0.00139	2.48711
221	0.17114	0.07637	0.00218	0.89559
222	0.11704	0.07259	0.00303	0.74469
223	0.09224	0.07136	0.00109	0.40001
224	0.07727	0.07104	0.00067	0.17921
225	0	0	0	0
226	0.07339	0.07048	0.00105	0.16248
227	0.07008	0.07038	0.00016	0.15816
228	0.07013	0.07038	0.00016	0.15816
229	0.07081	0.07038	0.00193	0.15816
230	0.07093	0.07038	0.00193	0.15816
231	0.07121	0.07038	0.00428	0.15816
232	0.07126	0.07038	0.00558	0.15816
233	0.07124	0.07038	0.00558	0.15816
234	0.07083	0.07038	0.00558	0.15674
235	0.07046	0.07048	0.00139	0.15674
236	0.06875	0.06937	0.00175	0.1541
237	0.0687	0.06925	0.00175	0.1541
238	0.0671	0.06925	0.00114	0.1541
239	0.06695	0.06925	0.00013	0.1541
240	0.06702	0.06925	0.00114	0.1541
241	0.06705	0.06925	0.00114	0.1541
242	0	0	0	0
243	0	0	0	0
244	0.06705	0.06925	0.00103	0.1541
245	0.06692	0.06925	0.00055	0.1541
246	0	0	0	0
247	0	0	0	0
248	0.06685	0.06902	0.00055	0.1541
249	0.067	0.06902	0.00091	0.1541
250	0.06747	0.06902	0.00243	0.1541
251	0.06708	0.06902	0.00125	0.1541
252	0.0672	0.06925	0.00125	0.1541
253	0.06731	0.06937	0.00097	0.1541
254	0	0	0	0
255	0.06715	0.06937	0.00142	0.1541
256	0.0674	0.07038	0.00142	0.1541
257	0.06739	0.07038	0.00137	0.1541
258	0.06743	0.07038	0.00139	0.1541
259	0.06746	0.07038	0.00142	0.1541
260	0.06746	0.07038	0.00142	0.1541
261	0	0	0	0
262	0	0	0	0
263	0.06746	0.07038	0.00142	0.1541
264	0.06721	0.06937	0.00142	0.1541
265	0.06101	0.06447	0.00028	0.14383
266	0.05509	0.0615	2e-04	0.13841
267	0.04726	0.05686	2e-04	0.12564
268	0.04288	0.0541	2e-04	0.11174
269	0	0	0	0
270	0.04152	0.05257	2e-04	0.10907
271	0.04086	0.0514	2e-04	0.10907
272	0.03904	0.04162	2e-04	0.10849
273	0.03753	0.01282	2e-04	0.10849
274	0.03338	0.00361	2e-04	0.1062
275	0	0	0	0
276	0.03054	0.00361	0.00018	0.10555
277	0.02503	0.00305	0.00016	0.09386
278	0.01922	0.00294	0.00016	0.08798
279	0.0118	0.00211	0.00016	0.08097
280	0.00938	0.00217	0.00016	0.07625
281	0.00571	0.00159	0.00014	0.0615
282	0.00433	0.0015	0.00012	0.05682
283	0	0	0	0
284	0	0	0	0
285	0	0	0	0
286	0.00446	0.0019	0.00012	0.05682
287	0.00446	0.00177	0.00012	0.05682
288	0.00441	0.00176	0.00012	0.05682
289	0.00444	0.00183	0.00012	0.05682
290	0.00433	0.00156	0.00012	0.05682
291	0.0042	0.00137	0.00012	0.05682
292	0.00422	0.00139	0.00012	0.05682
293	0	0	0	0
294	0.00423	0.00139	0.00012	0.05682
295	0.00461	0.00196	0.00012	0.05682
296	0.00437	0.00163	0.00012	0.05682
297	0.00471	0.00208	0.00012	0.05682
298	0.00501	0.002	0.00012	0.05682
299	0.00496	0.00164	0.00012	0.05682
300	0.00488	0.00167	0.00012	0.05682
301	0.00476	0.00139	0.00012	0.05682
302	0.00503	0.00164	0.00012	0.05682
303	0.00631	0.00208	0.00012	0.05682
304	0	0	0	0
305	0.00646	0.00208	0.00012	0.05682
306	0	0	0	0
307	0.00666	0.002	0.00012	0.05682
308	0.00565	0.00201	0.00012	0.05682
309	0.0052	0.00201	0.00012	0.05682
310	0.00514	0.00189	0.00012	0.05682
311	0.00449	0.00186	0.00012	0.05682
312	0.0042	0.00139	0.00012	0.05682
313	0.0042	0.00139	0.00012	0.05682
314	0.00422	0.00139	0.00012	0.05682
315	0.00422	0.00139	0.00012	0.05682
316	0.00422	0.00139	0.00012	0.05682
317	0.00418	0.0015	0.00012	0.05682
318	0.00413	0.00165	0.00012	0.05682
319	0	0	0	0
320	0.00418	0.0016	0.00012	0.05682
321	0.00415	0.0016	0.00012	0.05682
322	0	0	0	0
323	0	0	0	0
324	0.00418	0.0016	0.00012	0.05682
325	0	0	0	0
326	0.00415	0.00156	0.00012	0.05682
327	0	0	0	0
328	0	0	0	0
329	0.0042	0.002	0.00012	0.05682
330	0.004	0.0016	0.00012	0.05682
331	0	0	0	0
332	0.00397	0.00156	0.00012	0.05682
333	0.00391	0.00147	0.00012	0.05682
334	0.0039	0.00148	0.00012	0.05682
335	0.00416	0.002	0.00012	0.05682
336	0.00432	0.002	0.00012	0.05682
337	0.00398	0.00156	0.00012	0.05682
338	0.00387	0.00127	0.00012	0.05682
339	0.00388	0.00145	0.00012	0.05682
340	0.00366	0.00143	0.00012	0.05354
341	0.00241	0.00143	0.00012	0.00668
342	0.00201	0.00137	0.00011	0.00588
343	0	0	0	0
344	0	0	0	0
345	0.00187	0.00125	0.00011	0.00588
346	0.00197	0.0015	0.00011	0.00588
347	0.00191	0.00147	0.00011	0.00588
348	0.00186	0.00125	0.00011	0.00588
349	0.00188	0.00137	0.00011	0.00588
350	0.00274	0.00167	0.00011	0.01192
351	0.00209	0.00136	0.00011	0.00685
352	0.00208	0.00136	0.00011	0.00685
353	0.00208	0.00136	0.00011	0.00685
354	0.00204	0.00136	0.00011	0.00685
355	0.00192	0.00128	0.00011	0.00618
356	0.00192	0.00128	0.00011	0.00618
357	0.00194	0.00139	0.00011	0.00618
358	0.00194	0.00139	0.00011	0.00618
359	0.00206	0.0016	0.00011	0.00618
360	0.00213	0.00161	0.00011	0.00685
361	0.00213	0.00161	0.00011	0.00685
362	0	0	0	0
363	0	0	0	0
364	0	0	0	0
365	0	0	0	0
366	0	0	0	0
367	0	0	0	0
368	0	0	0	0
369	0	0	0	0
370	0	0	0	0
371	0.0028	0.00158	0.00011	0.01144
372	0	0	0	0
373	0	0	0	0
374	0.00248	0.00193	0.00011	0.00984
375	0.00217	0.00158	0.00011	0.00586
376	0.00245	0.00193	0.00011	0.00653
377	0.00245	0.00193	0.00011	0.00653
378	0.00202	0.00139	0.00011	0.00586
379	0.00202	0.00137	0.00011	0.00586
380	0.00202	0.00137	0.00011	0.00586
381	0.002	0.00137	0.00011	0.00586
382	0.00205	0.00186	0.00011	0.00627
383	0.00204	0.00186	0.00011	0.00627
384	0.00208	0.00193	0.00011	0.00627
385	0.0022	0.00186	0.00011	0.00627
386	0.00235	0.00187	0.00011	0.00656
387	0.00343	0.00168	0.00011	0.01208
388	0.00308	0.00169	0.00011	0.01208
389	0.00314	0.00164	0.00011	0.01208
390	0.00313	0.00164	0.00011	0.01208
391	0.00293	0.00157	0.00011	0.01208
392	0.00286	0.0015	0.00011	0.01476
393	0.00286	0.0015	0.00011	0.01476
394	0.00282	0.00144	0.00011	0.01476
395	0.00292	0.00148	0.00011	0.01476
396	0.00362	0.00187	0.00011	0.01476
397	0.00365	0.00187	0.00011	0.01476
398	0.00376	0.00187	0.00011	0.01476
399	0.0033	0.00181	0.00011	0.01476
400	0.00416	0.00187	0.00011	0.01476
401	0.00273	0.0017	0.00011	0.01476
402	0.00269	0.00161	0.00011	0.01476
403	0	0	0	0
404	0.00246	0.0015	0.00011	0.01216
405	0.00255	0.00139	0.00011	0.0162
406	0.00265	0.00167	0.00011	0.01148
407	0.00205	0.00167	0.00011	0.00606
408	0.00205	0.00167	0.00011	0.00606
409	0.0021	0.00161	0.00011	0.00793
